tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,,,Virgin America,,cairdin,nan,0,What said.,,2015-02-24 11:35:52,,Eastern Time (US & Canada)
570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,nan,0,plus you've added commercials to the experience... tacky.,,2015-02-24 11:15:59,,Pacific Time (US & Canada)
570301083672813571,neutral,0.6837,,,Virgin America,,yvonnalynn,nan,0,I didn't today... Must mean I need to take another trip!,,2015-02-24 11:15:48,Lets Play,Central Time (US & Canada)
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,nan,0,"it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces & they have little recourse",,2015-02-24 11:15:36,,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,nan,0,and it's a really big bad thing about it,,2015-02-24 11:14:45,,Pacific Time (US & Canada)
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,nan,0,seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying VA,,2015-02-24 11:14:33,,Pacific Time (US & Canada)
570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,nan,0,"yes, nearly every time I fly VX this ear worm wont go away :)",,2015-02-24 11:13:57,San Francisco CA,Pacific Time (US & Canada)
570300248553349120,neutral,0.634,,,Virgin America,,pilot,nan,0,"Really missed a prime opportunity for Men Without Hats parody, htere.",,2015-02-24 11:12:29,Los Angeles,Pacific Time (US & Canada)
570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,nan,0,"Well, I didn'tbut NOW I DO! :-D",,2015-02-24 11:11:19,San Diego,Pacific Time (US & Canada)
570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,nan,0,"it was amazing, and arrived an hour early. You're too good to me.",,2015-02-24 10:53:27,Los Angeles,Eastern Time (US & Canada)
570294189143031808,neutral,0.6769,,0.0,Virgin America,,idk_but_youtube,nan,0,did you know that suicide is the second leading cause of death among teens 10-24,,2015-02-24 10:48:24,1/1 loner squad,Eastern Time (US & Canada)
570289724453216256,positive,1.0,,,Virgin America,,HyperCamiLax,nan,0,I <3 pretty graphics. so much better than minimal iconography. :D,,2015-02-24 10:30:40,NYC,America/New_York
570289584061480960,positive,1.0,,,Virgin America,,HyperCamiLax,nan,0,This is such a great deal! Already thinking about my 2nd trip to & I haven't even gone on my 1st trip yet! ;p,,2015-02-24 10:30:06,NYC,America/New_York
570287408438120448,positive,0.6451,,,Virgin America,,mollanderson,nan,0,I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel,,2015-02-24 10:21:28,,Eastern Time (US & Canada)
570285904809598977,positive,1.0,,,Virgin America,,sjespers,nan,0,Thanks!,,2015-02-24 10:15:29,"San Francisco, CA",Pacific Time (US & Canada)
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,nan,0,SFO-PDX schedule is still MIA.,,2015-02-24 10:01:50,"palo alto, ca",Pacific Time (US & Canada)
570277724385734656,positive,1.0,,,Virgin America,,ItzBrianHunty,nan,0,So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,2015-02-24 09:42:59,west covina,Pacific Time (US & Canada)
570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,,heahterovieda,nan,0,I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on eihter side of me. HELP!,,2015-02-24 09:39:46,this place called NYC,Eastern Time (US & Canada)
570270684619923457,positive,1.0,,,Virgin America,,htebrandiray,nan,0,I flying .,,2015-02-24 09:15:00,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792064,positive,1.0,,,Virgin America,,JNLpierce,nan,0,you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,2015-02-24 09:04:10,Boston | Waltham,Quito
570265883513384960,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,nan,0,why are your first fares in May over three times more than ohter carriers when all seats are available to select???,,2015-02-24 08:55:56,,
